id,advice
18,"Don't judge a book by its cover, unless it has a synopsis on the back."
161,You have as many hours in a day as the people you admire most.
215,Once you find a really good friend don't do anything that could mess up your friendship.
13,"If you're feeling tired or anxious, a pint of water will almost always make you feel better."
148,Some people would be better off if they took their own advice.
97,If you are ever in doubt about whether or not to wash your hair: Wash it.
106,A problem shared is a problem halved.
163,Big things have small beginnings.
117,A common regret in life is wishing one hadn't worked so hard.
